tweetid,userid,user_display_name,user_screen_name,follower_count,following_count,tweet_language,tweet_text,tweet_time,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
832266561348071427,4224729994,Tennessee,TEN_GOP,147767,74664,en,Illegal immigration costs US $113b annually. Paying $15b for a wall is a great investment for our country.  #DayWithoutImmigrants hssqs://t.co/05XRoATsGl,2017-02-16 16:33,-123,,,False,,-123,649.0,362.0,3573.0,3077.0,[DayWithoutImmigrants],[],,
858742017521631232,4224729994,Tennessee,TEN_GOP,147767,74664,en,"""I hope they (Trump and his voters) leave their bodies to science. I would like to cut them open"" ~ @SenWarren during an event in Chicago. hssqs://t.co/xlXoOwstTo",2017-04-30 17:57,-123,,,False,,-123,1583.0,2236.0,2073.0,3076.0,[],[],[970207298],
826077955419955202,4508630900,John Davis,TheFoundingSon,47413,29429,en,"#ReasonsToProtest   My country can feed 10K Syrian refugees, but can't take care of 50K homeless veterans #BuildTheWall #MAGA hssqs://t.co/Q6WwphsTUL",2017-01-30 14:41,-123,,,False,,-123,339.0,451.0,4410.0,3070.0,"[ReasonsToProtest, BuildTheWall, MAGA]",[],,
783828065226924036,4224729994,Tennessee,TEN_GOP,147767,74664,en,"Dear Deplorables we need to stand in unity &amp; fight together to #FreeRicky!!!  Please RT, takes 2 sec but will show your support for #1A hssqs://t.co/T7z19QlTkP",2016-10-06 00:35,-123,,,False,,-123,150.0,84.0,2046.0,3070.0,"[FreeRicky, 1A]",[],,
826129888709136384,4224729994,Tennessee,TEN_GOP,147767,74664,en,Black American unemployment rate is double the national average but Starbucks is looking to hire foreigners.  #BoycottStarBucks,2017-01-30 18:08,-123,,,False,,-123,326.0,458.0,3698.0,3069.0,[BoycottStarBucks],[],,
849353872300793857,4224729994,Tennessee,TEN_GOP,147767,74664,en,"WATCH: Susan Rice dodges on whether she would willingly testify before Congress. Now, she fears to go to jail. #SusanRiceUnmasked hssqs://t.co/25osoPe24v",2017-04-04 20:11,-123,,,False,,-123,450.0,660.0,3457.0,3063.0,[SusanRiceUnmasked],[],,
830564663398105088,4355797094,Texas Lone Star,SouthLoneStar,53999,49272,en,"This is Abdul Artan. We welcomed him as a ""refugee"" from Somalia. He repaid the kindness by running over and stabbing 11 people in 2016. hssqs://t.co/yYZwVqd3Hu",2017-02-11 23:50,-123,,,False,,-123,261.0,201.0,1780.0,3063.0,[],[],,
857353652587175938,4224729994,Tennessee,TEN_GOP,147767,74664,en,A woman and a gay man banned by the Left from speaking at Berkeley. That speaks volumes.,2017-04-26 22:00,-123,,,False,,-123,150.0,183.0,3894.0,3059.0,[],[],,
785550166958964737,4224729994,Tennessee,TEN_GOP,147767,74664,en,🚨BOOM  Sidney Blumenthal says Hillary Clinton was negligent during #Benghazi:  This attack WAS certainly preventable!  #PodestaEmails2: hssqs://t.co/SBmNe5sbkW,2016-10-10 18:38,-123,,,False,,-123,353.0,131.0,2228.0,3058.0,"[Benghazi, PodestaEmails2]",[],,
1000143081868537858,905141386781085696,Kanisha J,KaniJJackson,34276,34395,en,"Cost of Mueller's investigation: $3,200,000  Benghazi ""investigation"": $7,000,000  Trump's golfing trips: $83,000,000  New debt from Republican tax bill:$1,500,000,000,000    Dear Republicans, please spare us your selective outrage about the cost of the Trump-Russia investigation",2018-05-25 22:34,-123,,,False,,-123,92.0,102.0,6011.0,3057.0,[],[],,
